no,term,uri,label,definition,ontologyShort,ontology,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
15,species,http://purl.obolibrary.org/obo/NCBITaxon_species,species,,ONS,http://data.bioontology.org/ontologies/ONS,0,1,1,1,1,1,1,1,0,0,1,1
16,species,http://www.imgt.org/download/IMGT-ONTOLOGY/IMGT-ONTOLOGY-v1-0-2.owl#Species,Species,Allows to identify a species.,IMGT-ONTOLOGY,http://data.bioontology.org/ontologies/IMGT-ONTOLOGY,0,1,1,1,1,1,1,1,0,0,1,1
17,species,http://purl.obolibrary.org/obo/NCBITaxon_species,species,,WB-PHENOTYPE,http://data.bioontology.org/ontologies/WB-PHENOTYPE,0,1,1,1,1,1,1,1,0,0,1,1
18,species,http://identifiers.org/biomodels.vocabulary#Species,Species,,ADALAB-META,http://data.bioontology.org/ontologies/ADALAB-META,0,1,1,1,1,1,1,1,0,0,1,1
19,species,http://onto.eva.mpg.de/ontologies/gfo-bio.owl#Species,Species,,GFO-BIO,http://data.bioontology.org/ontologies/GFO-BIO,0,1,1,1,1,1,1,1,0,0,1,1
20,species,http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_3454000,species,A taxonomic rank that...,NEMO,http://data.bioontology.org/ontologies/NEMO,0,1,1,1,1,1,1,1,0,0,1,1
21,species,http://www.cvrgrid.org/ontologies/Electrophysiology#Species,Species,,EP,http://data.bioontology.org/ontologies/EP,0,1,1,1,1,1,1,1,0,0,1,1
22,species,http://purl.obolibrary.org/obo/APOLLO_SV_00000121,species,,APOLLO-SV,http://data.bioontology.org/ontologies/APOLLO-SV,0,1,1,1,1,1,1,1,0,0,1,1
23,species,http://purl.obolibrary.org/obo/TAXRANK_0000006,species,,VTO,http://data.bioontology.org/ontologies/VTO,0,1,1,1,1,1,1,1,0,0,1,1
24,species,https://w3id.org/ahso#AHSO_0000_000025,Species,,AHSO,http://data.bioontology.org/ontologies/AHSO,0,1,1,1,1,1,1,1,0,0,1,1
25,species,http://www.owl-ontologies.com/BiodiversityOntologyFull.owl#Species,Species,,BOF,http://data.bioontology.org/ontologies/BOF,0,1,1,1,1,1,1,1,0,0,1,1
26,species,http://purl.jp/bio/10/mccv#MCCV_000003,Species,,MCCV,http://data.bioontology.org/ontologies/MCCV,0,1,1,1,1,1,1,1,0,0,1,1
27,species,http://purl.obolibrary.org/obo/ATO_0000034,species,,ATO,http://data.bioontology.org/ontologies/ATO,0,1,1,1,1,1,1,1,0,0,1,1
28,species,http://purl.obolibrary.org/obo/TAXRANK_0000006,species,,TAXRANK,http://data.bioontology.org/ontologies/TAXRANK,0,1,1,1,1,1,1,1,0,0,1,1
29,species,http://cerrado.linkeddata.es/ecology/ccon#Species,species,Um grupo de organismos semelhantes capazes de reproduzirem entre si originando descendentes fÃ©rteis e vivem na mesma regiÃ£o geogrÃ¡fica.A group of organinsms capable of interbreeding and producing fertile offspring.,CCON,http://data.bioontology.org/ontologies/CCON,0,1,1,1,1,1,1,1,0,0,1,1
30,species,http://purl.obolibrary.org/obo/SIBO_0000477,Species,,SIBO,http://data.bioontology.org/ontologies/SIBO,0,1,1,1,1,1,1,1,0,0,1,1
31,species,http://www.stkos-ontology/domain/plantbiodiversity#Species,species,,PDO_CAS,http://data.bioontology.org/ontologies/PDO_CAS,0,1,1,1,1,1,1,1,0,0,1,1
32,species,http://purl.obolibrary.org/obo/NCBITaxon_species,species,,ICEO,http://data.bioontology.org/ontologies/ICEO,0,1,1,1,1,1,1,1,0,0,1,1
33,species,http://purl.obolibrary.org/obo/WC_species,species,species,WC,http://data.bioontology.org/ontologies/WC,0,1,1,1,1,1,1,1,0,0,1,1
34,,,,,,,,,,,,,,,,,,
35,invasion,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75004,Invasion,The movement of one cell type into an area normally occupied by a different cell type.,NCIT,http://data.bioontology.org/ontologies/NCIT,1,0,0,0,0,1,0,1,1,1,1,1
36,invasion,http://purl.jp/bio/4/id/200906089117348196,invasion,,IOBC ,http://data.bioontology.org/ontologies/IOBC ,1,0,0,0,0,1,0,1,1,1,1,1
37,,,,,,,,,,,,,,,,,,
38,growth,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64379,Growth,A process of becoming larger or longer or more numerous.,NCIT,http://data.bioontology.org/ontologies/NCIT,0,0,1,1,0,0,0,0,0,0,0,0
39,growth,http://purl.bioontology.org/ontology/MESH/D006128,Growth,Gradual increase in the number the size and the complexity of cells of an individual. Growth generally results in increase in ORGAN WEIGHT BODY WEIGHT and BODY HEIGHT.,MESH,http://data.bioontology.org/ontologies/MESH,0,0,1,1,0,0,0,0,0,0,0,0
40,growth,http://purl.bioontology.org/ontology/OMIM/MTHU000046,GROWTH,,OMIM,http://data.bioontology.org/ontologies/OMIM,0,0,1,1,0,0,0,0,0,0,0,0
41,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",GO,http://data.bioontology.org/ontologies/GO,0,0,1,1,0,0,0,0,0,0,0,0
42,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",GO-EXT,http://data.bioontology.org/ontologies/GO-EXT,0,0,1,1,0,0,0,0,0,0,0,0
43,growth,http://radlex.org/RID/RID39547,growth,,RADLEX,http://data.bioontology.org/ontologies/RADLEX,0,0,1,1,0,0,0,0,0,0,0,0
44,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,,UBERON,http://data.bioontology.org/ontologies/UBERON,0,0,1,1,0,0,0,0,0,0,0,0
45,growth,http://purl.jp/bio/4/id/200906067008272798,growth,,IOBC,http://data.bioontology.org/ontologies/IOBC,0,0,1,1,0,0,0,0,0,0,0,0
46,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,,ECO,http://data.bioontology.org/ontologies/ECO,0,0,1,1,0,0,0,0,0,0,0,0
47,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",NIFSTD,http://data.bioontology.org/ontologies/NIFSTD,0,0,1,1,0,0,0,0,0,0,0,0
48,growth,http://purl.dataone.org/odo/ECSO_00000540,Growth,The process of increasing in physical size mass or number gradually and irreversibly. the process of developing or maturing. the increase in number and spread of small or microscopic organisms.\\n\\npotential synonyms: development maturation growing germination sprouting blooming expansion extension development progress advance advancement,ECSO,http://data.bioontology.org/ontologies/ECSO,0,0,1,1,0,0,0,0,0,0,0,0
49,growth,http://phenomebrowser.net/ontologies/mesh/mesh.owl#G07.700.320.249,Growth,,RH-MESH,http://data.bioontology.org/ontologies/RH-MESH,0,0,1,1,0,0,0,0,0,0,0,0
50,growth,http://phenomebrowser.net/ontologies/mesh/mesh.owl#D006128,Growth,,RH-MESH,http://data.bioontology.org/ontologies/RH-MESH,0,0,1,1,0,0,0,0,0,0,0,0
51,growth,http://www.co-ode.org/ontologies/galen#Growth,Growth,,GALEN,http://data.bioontology.org/ontologies/GALEN,0,0,1,1,0,0,0,0,0,0,0,0
52,growth,http://sweetontology.net/phenSystem/Growth,Growth,,SWEET,http://data.bioontology.org/ontologies/SWEET,0,0,1,1,0,0,0,0,0,0,0,0
53,growth,http://scai.fraunhofer.de/HuPSON#SCAIVPH_00000284,growth,A process of becoming larger or longer or more numerous.\\nsource: NCI Thesaurus,HUPSON,http://data.bioontology.org/ontologies/HUPSON,0,0,1,1,0,0,0,0,0,0,0,0
54,growth,http://www.icn.ch/icnp#Growth,Growth,,ICNP,http://data.bioontology.org/ontologies/ICNP,0,0,1,1,0,0,0,0,0,0,0,0
55,growth,http://id.loc.gov/authorities/subjects/sh85057525,Growth,,FAST-TOPICAL,http://data.bioontology.org/ontologies/FAST-TOPICAL,0,0,1,1,0,0,0,0,0,0,0,0
56,growth,http://purl.org/obo/owl/GO#GO_0040007,growth,"""See also the biological process term cell growth  """"GO:0016049.""",BIOMODELS,http://data.bioontology.org/ontologies/BIOMODELS,0,0,1,1,0,0,0,0,0,0,0,0
57,growth,http://www.projecthalo.com/aura#Growth,Growth,,AURA,http://data.bioontology.org/ontologies/AURA,0,0,1,1,0,0,0,0,0,0,0,0
58,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,The increase in size or mass of an entire organism a part of an organism or a cell.,IDOMAL,http://data.bioontology.org/ontologies/IDOMAL,0,0,1,1,0,0,0,0,0,0,0,0
59,growth,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Growth_Generic,Growth,,SYN,http://data.bioontology.org/ontologies/SYN,0,0,1,1,0,0,0,0,0,0,0,0
60,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",UPHENO,http://data.bioontology.org/ontologies/UPHENO,0,0,1,1,0,0,0,0,0,0,0,0
61,growth,http://purl.obolibrary.org/obo/IEV_0000142,Growth,"""The increase in size or mass of an entire organism a part of an organism or a cell."" GO:0040007",PTS,http://data.bioontology.org/ontologies/PTS,0,0,1,1,0,0,0,0,0,0,0,0
62,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",GO-PLUS,http://data.bioontology.org/ontologies/GO-PLUS,0,0,1,1,0,0,0,0,0,0,0,0
63,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",FYPO,http://data.bioontology.org/ontologies/FYPO,0,0,1,1,0,0,0,0,0,0,0,0
64,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",PHAGE,http://data.bioontology.org/ontologies/PHAGE,0,0,1,1,0,0,0,0,0,0,0,0
65,growth,http://www.bootstrep.eu/ontology/GRO#Growth,growth,,GRO,http://data.bioontology.org/ontologies/GRO,0,0,1,1,0,0,0,0,0,0,0,0
66,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",WB-PHENOTYPE,http://data.bioontology.org/ontologies/WB-PHENOTYPE,0,0,1,1,0,0,0,0,0,0,0,0
67,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",ONTONEO,http://data.bioontology.org/ontologies/ONTONEO,0,0,1,1,0,0,0,0,0,0,0,0
68,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",OMP,http://data.bioontology.org/ontologies/OMP,0,0,1,1,0,0,0,0,0,0,0,0
69,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",IDOBRU,http://data.bioontology.org/ontologies/IDOBRU,0,0,1,1,0,0,0,0,0,0,0,0
70,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,The increase in size or mass of an entire organism a part of an organism or a cell.,IDODEN,http://data.bioontology.org/ontologies/IDODEN,0,0,1,1,0,0,0,0,0,0,0,0
71,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",LIFO,http://data.bioontology.org/ontologies/LIFO,0,0,1,1,0,0,0,0,0,0,0,0
72,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,,OBA,http://data.bioontology.org/ontologies/OBA,0,0,1,1,0,0,0,0,0,0,0,0
73,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,The increase in size or mass of an entire organism a part of an organism or a cell.,VDOT,http://data.bioontology.org/ontologies/VDOT,0,0,1,1,0,0,0,0,0,0,0,0
74,growth,http://purl.obolibrary.org/obo/NCIT_C64379,Growth,A process of becoming larger or longer or more numerous.,PREMEDONTO,http://data.bioontology.org/ontologies/PREMEDONTO,0,0,1,1,0,0,0,0,0,0,0,0
75,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,"The increase in size or mass of an entire organism a part of an organism or a cell.""See also the biological process term cell growth  """"GO:0016049.""",CMPO,http://data.bioontology.org/ontologies/CMPO,0,0,1,1,0,0,0,0,0,0,0,0
76,growth,http://purl.obolibrary.org/obo/GO_0040007,growth,The increase in size or mass of an entire organism a part of an organism or a cell.,NIGO,http://data.bioontology.org/ontologies/NIGO,0,0,1,1,0,0,0,0,0,0,0,0
77,growth,http://purl.org/obo/owl/GO#GO_0040007,growth,The increase in size or mass of an entire organism a part of an organism or a cell.,ONSTR,http://data.bioontology.org/ontologies/ONSTR,0,0,1,1,0,0,0,0,0,0,0,0
78,growth,http://regenbase.org/ontology#RB_0000362,growth,The process of undergoing development by increasing in size and changing physically maturation.,RB,http://data.bioontology.org/ontologies/RB,0,0,1,1,0,0,0,0,0,0,0,0
79,growth,http://id.loc.gov/authorities/subjects/sh00005987,--Growth,,FAST-TOPICAL,http://data.bioontology.org/ontologies/FAST-TOPICAL,0,0,1,1,0,0,0,0,0,0,0,0
80,growth,http://purl.obolibrary.org/obo/GO_0040007,"""growth""",,FTC,http://data.bioontology.org/ontologies/FTC,0,0,1,1,0,0,0,0,0,0,0,0
81,,,,,,,,,,,,,,,,,,
82,reproduction,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17087,Reproduction,The generation of offspring by living organisms.,NCIT,http://data.bioontology.org/ontologies/NCIT,0,0,1,1,0,0,0,0,0,0,0,0
83,reproduction,http://purl.bioontology.org/ontology/MESH/D012098,Reproduction,The total process by which organisms produce offspring. (Stedman 25th ed),MESH,http://data.bioontology.org/ontologies/MESH,0,0,1,1,0,0,0,0,0,0,0,0
84,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,GO,http://data.bioontology.org/ontologies/GO,0,0,1,1,0,0,0,0,0,0,0,0
85,reproduction,http://purl.bioontology.org/ontology/CSP/2586-6130,reproduction,total process by which organisms produce offspring.,CRISP,http://data.bioontology.org/ontologies/CRISP,0,0,1,1,0,0,0,0,0,0,0,0
86,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production by an organism of new individuals that contain some portion of their genetic material inherited from that organism.,GO-EXT,http://data.bioontology.org/ontologies/GO-EXT,0,0,1,1,0,0,0,0,0,0,0,0
87,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,,UBERON,http://data.bioontology.org/ontologies/UBERON,0,0,1,1,0,0,0,0,0,0,0,0
88,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,CL,http://data.bioontology.org/ontologies/CL,0,0,1,1,0,0,0,0,0,0,0,0
89,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,NIFSTD,http://data.bioontology.org/ontologies/NIFSTD,0,0,1,1,0,0,0,0,0,0,0,0
90,reproduction,http://phenomebrowser.net/ontologies/mesh/mesh.owl#D012098,Reproduction,,RH-MESH,http://data.bioontology.org/ontologies/RH-MESH,0,0,1,1,0,0,0,0,0,0,0,0
91,reproduction,http://phenomebrowser.net/ontologies/mesh/mesh.owl#G08.686.785.760,Reproduction,,RH-MESH,http://data.bioontology.org/ontologies/RH-MESH,0,0,1,1,0,0,0,0,0,0,0,0
92,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,FB-BT,http://data.bioontology.org/ontologies/FB-BT,0,0,1,1,0,0,0,0,0,0,0,0
93,reproduction,http://id.loc.gov/authorities/subjects/sh85112953,Reproduction,,FAST-TOPICAL,http://data.bioontology.org/ontologies/FAST-TOPICAL,0,0,1,1,0,0,0,0,0,0,0,0
94,reproduction,http://data.bnf.fr/ark:/12148/cb11932756h,Reproduction,,FAST-TOPICAL,http://data.bioontology.org/ontologies/FAST-TOPICAL,0,0,1,1,0,0,0,0,0,0,0,0
95,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,NBO,http://data.bioontology.org/ontologies/NBO,0,0,1,1,0,0,0,0,0,0,0,0
96,reproduction,http://purl.org/obo/owl/GO#GO_0000003,reproduction,,BIOMODELS,http://data.bioontology.org/ontologies/BIOMODELS,0,0,1,1,0,0,0,0,0,0,0,0
97,reproduction,http://www.projecthalo.com/aura#Reproduction,Reproduction,,AURA,http://data.bioontology.org/ontologies/AURA,0,0,1,1,0,0,0,0,0,0,0,0
98,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production by an organism of new individuals that contain some portion of their genetic material inherited from that organism.,IDOMAL,http://data.bioontology.org/ontologies/IDOMAL,0,0,1,1,0,0,0,0,0,0,0,0
99,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,UPHENO,http://data.bioontology.org/ontologies/UPHENO,0,0,1,1,0,0,0,0,0,0,0,0
100,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,GO-PLUS,http://data.bioontology.org/ontologies/GO-PLUS,0,0,1,1,0,0,0,0,0,0,0,0
101,reproduction,http://www.owl-ontologies.com/unnamed.owl#Reproduction,Reproduction,,ADW,http://data.bioontology.org/ontologies/ADW,0,0,1,1,0,0,0,0,0,0,0,0
102,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,FYPO,http://data.bioontology.org/ontologies/FYPO,0,0,1,1,0,0,0,0,0,0,0,0
103,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,FB-DV,http://data.bioontology.org/ontologies/FB-DV,0,0,1,1,0,0,0,0,0,0,0,0
104,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,PHAGE,http://data.bioontology.org/ontologies/PHAGE,0,0,1,1,0,0,0,0,0,0,0,0
105,reproduction,http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000286,Reproduction,,FISHO,http://data.bioontology.org/ontologies/FISHO,0,0,1,1,0,0,0,0,0,0,0,0
106,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,WB-PHENOTYPE,http://data.bioontology.org/ontologies/WB-PHENOTYPE,0,0,1,1,0,0,0,0,0,0,0,0
107,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,ONTONEO,http://data.bioontology.org/ontologies/ONTONEO,0,0,1,1,0,0,0,0,0,0,0,0
108,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,PPO,http://data.bioontology.org/ontologies/PPO,0,0,1,1,0,0,0,0,0,0,0,0
109,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,OMP,http://data.bioontology.org/ontologies/OMP,0,0,1,1,0,0,0,0,0,0,0,0
110,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production by an organism of new individuals that contain some portion of their genetic material inherited from that organism.The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,IDOBRU,http://data.bioontology.org/ontologies/IDOBRU,0,0,1,1,0,0,0,0,0,0,0,0
111,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,PLANA,http://data.bioontology.org/ontologies/PLANA,0,0,1,1,0,0,0,0,0,0,0,0
112,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production by an organism of new individuals that contain some portion of their genetic material inherited from that organism.,APOLLO-SV,http://data.bioontology.org/ontologies/APOLLO-SV,0,0,1,1,0,0,0,0,0,0,0,0
113,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production by an organism of new individuals that contain some portion of their genetic material inherited from that organism.,IDODEN,http://data.bioontology.org/ontologies/IDODEN,0,0,1,1,0,0,0,0,0,0,0,0
114,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,LIFO,http://data.bioontology.org/ontologies/LIFO,0,0,1,1,0,0,0,0,0,0,0,0
115,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,,OBA,http://data.bioontology.org/ontologies/OBA,0,0,1,1,0,0,0,0,0,0,0,0
116,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production by an organism of new individuals that contain some portion of their genetic material inherited from that organism.,NIGO,http://data.bioontology.org/ontologies/NIGO,0,0,1,1,0,0,0,0,0,0,0,0
117,reproduction,http://purl.obolibrary.org/obo/GO_0000003,reproduction,The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.,PORO,http://data.bioontology.org/ontologies/PORO,0,0,1,1,0,0,0,0,0,0,0,0
118,reproduction,http://id.loc.gov/authorities/subjects/sh99005102,--Reproduction,,FAST-TOPICAL,http://data.bioontology.org/ontologies/FAST-TOPICAL,0,0,1,1,0,0,0,0,0,0,0,0
119,reproduction,http://purl.obolibrary.org/obo/GO_0000003,"""reproduction""",,FTC,http://data.bioontology.org/ontologies/FTC,0,0,1,1,0,0,0,0,0,0,0,0
120,reproduction,http://purl.jp/bio/4/id/200906067736606163,reproduction (biology),,IOBC,http://data.bioontology.org/ontologies/IOBC,0,0,1,1,0,0,0,0,0,0,0,0
121,reproduction,http://purl.obolibrary.org/obo/GO_0019953,sexual reproduction,The regular alternation in the life cycle of haplontic diplontic and diplohaplontic organisms of meiosis and fertilization which provides for the production offspring. In diplontic organisms there is a life cycle in which the products of meiosis behave directly as gametes fusing to form a zygote from which the diploid or sexually reproductive polyploid adult organism will develop. In diplohaplontic organisms a haploid phase (gametophyte) exists in the life cycle between meiosis and fertilization (e.g. higher plants many algae and Fungi) the products of meiosis are spores that develop as haploid individuals from which haploid gametes develop to form a diploid zygote diplohaplontic organisms show an alternation of haploid and diploid generations. In haplontic organisms meiosis occurs in the zygote giving rise to four haploid cells (e.g. many algae and protozoa) only the zygote is diploid and this may form a resistant spore tiding organisms over hard times.,GO-EXT,http://data.bioontology.org/ontologies/GO-EXT,0,0,1,1,0,0,0,0,0,0,0,0
122,reproduction,http://purl.obolibrary.org/obo/GO_0019953,sexual reproduction,,UBERON,http://data.bioontology.org/ontologies/UBERON,0,0,1,1,0,0,0,0,0,0,0,0
123,reproduction,http://purl.obolibrary.org/obo/GO_0019953,sexual reproduction,A reproduction process that creates a new organism by combining the genetic material of two gametes which may come from two organisms or from a single organism in the case of self-fertilizing hermaphrodites e.g. C. elegans or self-fertilization in plants. It occurs both in eukaryotes and prokaryotes: in multicellular eukaryotic organisms an individual is created anew in prokaryotes the initial cell has additional or transformed genetic material. In a process called genetic recombination genetic material (DNA) originating from two gametes join up so that homologous sequences are aligned with each other and this is followed by exchange of genetic information. After the new recombinant chromosome is formed it is passed on to progeny.Sexual reproduction may be seen as the regular alternation in the life cycle of haplontic diplontic and diplohaplontic organisms of meiosis and fertilization which provides for the production offspring. In diplontic organisms there is a life cycle in which the products of meiosis behave directly as gametes fusing to form a zygote from which the diploid or sexually reproductive polyploid adult organism will develop. In diplohaplontic organisms a haploid phase (gametophyte) exists in the life cycle between meiosis and fertilization (e.g. higher plants many algae and Fungi) the products of meiosis are spores that develop as haploid individuals from which haploid gametes develop to form a diploid zygote diplohaplontic organisms show an alternation of haploid and diploid generations. In haplontic organisms meiosis occurs in the zygote giving rise to four haploid cells (e.g. many algae and protozoa) only the zygote is diploid and this may form a resistant spore tiding organisms over hard times.,CL,http://data.bioontology.org/ontologies/CL,0,0,1,1,0,0,0,0,0,0,0,0
124,reproduction,http://purl.obolibrary.org/obo/GO_0019954,asexual reproduction,The biological process in which new individuals are produced by either a single cell or a group of cells in the absence of any sexual process.,NIFSTD,http://data.bioontology.org/ontologies/NIFSTD,0,0,1,1,0,0,0,0,0,0,0,0
